Rank ,Name,Networth,Age,Country,Source,Industry
1,Elon Musk ,219,50,United States,Tesla,Automotive 
2,Jeff Bezos ,171,58,United States,Amazon,Technology 
3,Bernard Arnault & family ,158,73,France,LVMH,Fashion & Retail 
4,Bill Gates ,129,66,United States,Microsoft,Technology 
5,Warren Buffett ,118,91,United States,Berkshire Hathaway,Finance & Investments 
6,Larry Page ,111,49,United States,Google,Technology 
7,Sergey Brin ,107,48,United States,Google,Technology 
8,Larry Ellison ,106,77,United States,software,Technology 
9,Steve Ballmer ,91.4,66,United States,Microsoft,Technology 
10,Mukesh Ambani ,90.7,64,India,diversified  ,diversified   
11,Gautam Adani & family ,90,59,India,infrastructure & commodities,diversified   
12,Michael Bloomberg ,82,80,United States,Bloomberg LP,Media & Entertainment 
13,Carlos Slim Helu & family ,81.2,82,Mexico,telecom,Telecom 
14,Francoise Bettencourt Meyers & family ,74.8,68,France,L'Oréal,Fashion & Retail 
15,Mark Zuckerberg ,67.3,37,United States,Facebook,Technology 
16,Jim Walton ,66.2,73,United States,Walmart,Fashion & Retail 
17,Zhong Shanshan ,65.7,67,China,beverages & pharmaceuticals,Food & Beverage 
18,Alice Walton ,65.3,72,United States,Walmart,Fashion & Retail 
19,Rob Walton ,65,77,United States,Walmart,Fashion & Retail 
19,Changpeng Zhao ,65,44,Canada,cryptocurrency exchange,Finance & Investments 
20,Charles Koch ,60,86,United States,Koch Industries,diversified
